fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology
0,2025-08..2025-10,future,seen,gbt,47338,0.10443900668805216,0.29576423539873054,0.09503222701415848,0.0027542000979515757
0,2025-08..2025-10,future,seen,persistence,47398,0.1154063269495964,0.14756462542199067,0.0,-0.10196830171282878
0,2025-08..2025-10,future,seen,climatology,47601,0.10472744703292847,0.33010368569218274,0.09253288098608259,0.0
0,2025-08..2025-10,future,unseen,gbt,3575,0.10097396072999457,0.2630199489023698,0.057534497180419586,-0.0250865941352465
0,2025-08..2025-10,future,unseen,persistence,3578,0.10713809728622437,0.17529232303127384,0.0,-0.08766484403777985
0,2025-08..2025-10,future,unseen,climatology,3584,0.09850285947322845,0.3076034125723536,0.08059913356428638,0.0
0,2025-08..2025-10,seen,seen,gbt,1507593,0.09430925723348181,0.4080538994255055,0.2722926659251127,-0.025216442377137716
0,2025-08..2025-10,seen,seen,persistence,1638241,0.12959778308868408,-0.10017555587487426,0.0,-0.408830713078445
0,2025-08..2025-10,seen,seen,climatology,1744703,0.09198960661888123,0.4719086201418419,0.29019151079202865,0.0
0,2025-08..2025-10,seen,unseen,gbt,113899,0.09490290630924154,0.36016991139558685,0.2832621753421469,-0.008023451344191912
0,2025-08..2025-10,seen,unseen,persistence,122979,0.13240951299667358,-0.2326573607583986,0.0,-0.40640470847954613
0,2025-08..2025-10,seen,unseen,climatology,129892,0.09414751827716827,0.3851779412473132,0.28896711311419543,0.0
1,2025-11..2026-01,future,seen,gbt,39047,0.11056639192551297,0.1677891514759151,0.32570570823081924,0.03146638196681406
1,2025-11..2026-01,future,seen,persistence,40277,0.16397349536418915,-0.8093830702778817,0.0,-0.43636633122311363
1,2025-11..2026-01,future,seen,climatology,41059,0.11415854841470718,0.13781163898028514,0.30379877454488446,0.0
1,2025-11..2026-01,future,unseen,gbt,2741,0.10854735529344413,0.023939821839548237,0.33953931485641775,0.0314664228103545
1,2025-11..2026-01,future,unseen,persistence,2753,0.1643509715795517,-1.2351673015307716,0.0,-0.4664515223628929
1,2025-11..2026-01,future,unseen,climatology,2764,0.11207392066717148,-0.037800468625919015,0.31808178807799914,0.0
1,2025-11..2026-01,seen,seen,gbt,1523606,0.09395031266983919,0.41215936224045957,0.26729337362052075,-0.03073069610550272
1,2025-11..2026-01,seen,seen,persistence,1686403,0.12822364270687103,-0.0825974707762307,0.0,-0.40674406235227956
1,2025-11..2026-01,seen,seen,climatology,1793109,0.0911492332816124,0.47925292010605136,0.28913863810602813,0.0
1,2025-11..2026-01,seen,unseen,gbt,115093,0.09453509959465878,0.3636239143071702,0.27818829099409903,-0.014583694537301906
1,2025-11..2026-01,seen,unseen,persistence,126567,0.13096919655799866,-0.21836675974362274,0.0,-0.4056071436339188
1,2025-11..2026-01,seen,unseen,climatology,133485,0.09317624568939209,0.3918144127354022,0.2885636612412924,0.0
2,2026-02..2026-04,future,seen,gbt,22215,0.1408281335156922,-0.0237196118517784,0.3624757670994916,-0.05521302905609571
2,2026-02..2026-04,future,seen,persistence,35688,0.22089847922325134,-1.2866298220333685,0.0,-0.6551732069152132
2,2026-02..2026-04,future,seen,climatology,45458,0.1334594339132309,0.12803331042822907,0.3958336228365341,0.0
2,2026-02..2026-04,future,unseen,gbt,823,0.15273144197523478,-0.07877844233073783,0.40682134880337284,-0.06077655221633349
2,2026-02..2026-04,future,unseen,persistence,2091,0.2574796676635742,-1.5675445266498578,0.0,-0.7882918579021934
2,2026-02..2026-04,future,unseen,climatology,3242,0.14398078620433807,0.04931500048834103,0.44080716154851896,0.0
2,2026-02..2026-04,seen,seen,gbt,1570944,0.09417659493419775,0.4116241528303498,0.26361443955664055,-0.030690067382448394
2,2026-02..2026-04,seen,seen,persistence,1733801,0.12789033353328705,-0.07292949240627533,0.0,-0.39966088792112586
2,2026-02..2026-04,seen,seen,climatology,1840743,0.09137237071990967,0.47867608592295297,0.28554122742883115,0.0
2,2026-02..2026-04,seen,unseen,gbt,118668,0.09475761091845625,0.3623927122134213,0.273176648423919,-0.016869555623629573
2,2026-02..2026-04,seen,unseen,persistence,130145,0.13037227094173431,-0.20362260299053192,0.0,-0.39906010644621914
2,2026-02..2026-04,seen,unseen,climatology,137069,0.09318561106920242,0.39342385804533386,0.2852344260318306,0.0
3,2026-05..2026-07,future,seen,gbt,43556,0.0851413566911577,0.25298851969876146,0.17960442655270892,-0.004699165487133339
3,2026-05..2026-07,future,seen,persistence,48104,0.10378085821866989,-0.07627306089894859,0.0,-0.2246521044298191
3,2026-05..2026-07,future,seen,climatology,48292,0.08474313467741013,0.3304490321035848,0.18344156974638437,0.0
3,2026-05..2026-07,future,unseen,gbt,2944,0.07448170685871802,0.34886569412832225,0.20944601148452313,-0.04467716525202792
3,2026-05..2026-07,future,unseen,persistence,3589,0.09421457350254059,-0.058802885940829386,0.0,-0.3214494903931233
3,2026-05..2026-07,future,unseen,climatology,3594,0.07129638642072678,0.4026342098648936,0.24325522294272017,0.0
3,2026-05..2026-07,seen,seen,gbt,1609991,0.09450067360238075,0.4075062985089144,0.26642271444045273,-0.02968288563173127
3,2026-05..2026-07,seen,seen,persistence,1774078,0.1288217008113861,-0.0888597281890815,0.0,-0.40364608596942153
3,2026-05..2026-07,seen,seen,climatology,1881804,0.09177648276090622,0.47359602111441335,0.2875697015110795,0.0
3,2026-05..2026-07,seen,unseen,gbt,121409,0.0949506937887296,0.3588133772029263,0.27609986677745135,-0.015893694608274167
3,2026-05..2026-07,seen,unseen,persistence,132898,0.13116545975208282,-0.2203431219247769,0.0,-0.4033616627280796
3,2026-05..2026-07,seen,unseen,climatology,139833,0.09346518665552139,0.38862656299133924,0.2874253112657792,0.0
0,2025-08..2025-10,future,seen,convlstm,47634,0.10893985629081726,0.28206967039982345,0.056032202303807566,-0.04022259089887226
0,2025-08..2025-10,future,unseen,convlstm,3584,0.10298234224319458,0.2431972008910288,0.038788770272142226,-0.04547566226931288
0,2025-08..2025-10,seen,seen,convlstm,1690518,0.10357717424631119,0.3244132467480122,0.20077973729355325,-0.12596605261546556
0,2025-08..2025-10,seen,unseen,convlstm,126216,0.10421326756477356,0.22297824544932365,0.21294727843767824,-0.10691465342689055
1,2025-11..2026-01,future,seen,convlstm,41061,0.12430119514465332,-0.02135965297564968,0.2419433709784784,-0.08884701908700388
1,2025-11..2026-01,future,unseen,convlstm,2764,0.1275806427001953,-0.34485124981355764,0.22373052331825272,-0.1383615558437945
1,2025-11..2026-01,seen,seen,convlstm,1738924,0.1036120057106018,0.3209863983901591,0.1919430494774922,-0.13672931719002768
1,2025-11..2026-01,seen,unseen,convlstm,129809,0.104607954621315,0.20935085435142986,0.20127818318721835,-0.12268909148830831
2,2026-02..2026-04,future,seen,convlstm,45464,0.15600283443927765,-0.189155816102335,0.2937804054250044,-0.1689157511390571
2,2026-02..2026-04,future,unseen,convlstm,3242,0.1637057512998581,-0.22901015695443538,0.36419930635549114,-0.1369972036930418
2,2026-02..2026-04,seen,seen,convlstm,1786558,0.10367854684591293,0.3230120868162075,0.18931678429841858,-0.13468158951162912
2,2026-02..2026-04,seen,unseen,convlstm,133393,0.10446301847696304,0.2147737184441867,0.19873284616136333,-0.12102090954134193
3,2026-05..2026-07,future,seen,convlstm,48301,0.09033101797103882,0.2425364025780079,0.12959846814228293,-0.06593906768849145
3,2026-05..2026-07,future,unseen,convlstm,3594,0.0857657864689827,0.1355627998700264,0.08967600997875413,-0.20294717270621
3,2026-05..2026-07,seen,seen,convlstm,1827619,0.1053561419248581,0.30040912003393605,0.1821553258397437,-0.1479644758159806
3,2026-05..2026-07,seen,unseen,convlstm,136157,0.10679040104150772,0.17816110668324792,0.18583443199640093,-0.14256874524948215
