fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
0,2025-08..2025-10,future,seen,gbt,6112,0.10242724641602816,0.34279587834469816,0.07589737103764538,0.016093964851378595,sunshine_coast_core
0,2025-08..2025-10,future,seen,persistence,6125,0.11083968728780746,0.23421006413478596,0.0,-0.06471511313999634,sunshine_coast_core
0,2025-08..2025-10,future,seen,climatology,6140,0.10410267114639282,0.32861335777766765,0.060781623498460724,0.0,sunshine_coast_core
0,2025-08..2025-10,future,unseen,gbt,225,0.08728498748108296,0.1358123211987402,0.09505422569745736,0.029515440994565267,sunshine_coast_core
0,2025-08..2025-10,future,unseen,persistence,225,0.09645327925682068,-0.055268442997082445,0.0,-0.07242288606011127,sunshine_coast_core
0,2025-08..2025-10,future,unseen,climatology,225,0.08993959426879883,0.08244772627647434,0.06753202211692799,0.0,sunshine_coast_core
0,2025-08..2025-10,seen,seen,gbt,188259,0.0869118540854866,0.537036752879432,0.28419840028791765,0.018648314209438577,sunshine_coast_core
0,2025-08..2025-10,seen,seen,persistence,205563,0.12141891568899155,0.10341648751401611,0.0,-0.3709828061089715,sunshine_coast_core
0,2025-08..2025-10,seen,seen,climatology,219757,0.08856341242790222,0.528394110548325,0.27059624997184994,0.0,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,gbt,6838,0.0884015323552832,0.2867188566680857,0.28170954761193556,0.025161178431140074,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,persistence,7458,0.12307212501764297,-0.3567990210394236,0.0,-0.3571652224080968,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,climatology,8000,0.0906832292675972,0.26957447334778784,0.26317003745082546,0.0,sunshine_coast_core
1,2025-11..2026-01,future,seen,gbt,4442,0.105489653266888,0.15992611981261984,0.3365019357250827,0.02360932702430618,sunshine_coast_core
1,2025-11..2026-01,future,seen,persistence,4511,0.15899014472961426,-0.8839047990108766,0.0,-0.4715802886971665,sunshine_coast_core
1,2025-11..2026-01,future,seen,climatology,4559,0.10804041475057602,0.13810354916419476,0.3204584162476588,0.0,sunshine_coast_core
1,2025-11..2026-01,future,unseen,gbt,157,0.08680034058369622,-0.4692882708748767,0.3555839861802468,0.05285965336476173,sunshine_coast_core
1,2025-11..2026-01,future,unseen,persistence,157,0.1346961259841919,-2.538134719529461,0.0,-0.46976537876688895,sunshine_coast_core
1,2025-11..2026-01,future,unseen,climatology,157,0.09164464473724365,-0.6378658863834763,0.31961929812295287,0.0,sunshine_coast_core
1,2025-11..2026-01,seen,seen,gbt,190310,0.0866542339875989,0.539712516690614,0.27907831345326173,0.013172447327134962,sunshine_coast_core
1,2025-11..2026-01,seen,seen,persistence,211729,0.12019923329353333,0.11897586824547768,0.0,-0.3688415414437498,sunshine_coast_core
1,2025-11..2026-01,seen,seen,climatology,225938,0.08781091868877411,0.5351779109781669,0.2694552512299735,0.0,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,gbt,6913,0.08817819114884372,0.28747882475668296,0.27728859269869477,0.018205718448312647,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,persistence,7683,0.122010238468647,-0.3430830710226809,0.0,-0.3584873182199102,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,climatology,8225,0.08981330692768097,0.2785732560462395,0.26388712902351785,0.0,sunshine_coast_core
2,2026-02..2026-04,future,seen,gbt,1213,0.1551095496571775,-0.1607603452084434,0.3830621623824859,-0.04139202683017218,sunshine_coast_core
2,2026-02..2026-04,future,seen,persistence,4069,0.25141844153404236,-1.2385811866243075,0.0,-0.6880015510992354,sunshine_coast_core
2,2026-02..2026-04,future,seen,climatology,5903,0.1489444375038147,0.11869526793769891,0.4075834827587719,0.0,sunshine_coast_core
2,2026-02..2026-04,future,unseen,gbt,21,0.16708872015898685,-0.41393800395484703,0.377603139850867,-0.09958129499408752,sunshine_coast_core
2,2026-02..2026-04,future,unseen,persistence,137,0.26846009492874146,-1.646920933124477,0.0,-0.7666883710348669,sunshine_coast_core
2,2026-02..2026-04,future,unseen,climatology,215,0.1519566774368286,-0.13603745177932836,0.43396921811726563,0.0,sunshine_coast_core
2,2026-02..2026-04,seen,seen,gbt,196422,0.08703783634985789,0.5376139283915624,0.27435853675646804,0.012293329177419099,sunshine_coast_core
2,2026-02..2026-04,seen,seen,persistence,217854,0.11994606256484985,0.12627334502748377,0.0,-0.3611497149124421,sunshine_coast_core
2,2026-02..2026-04,seen,seen,climatology,232078,0.08812113851308823,0.5336523915753613,0.26532695922848837,0.0,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,gbt,7138,0.08800517915464276,0.29120718884597907,0.2748269850937354,0.01890579757456856,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,persistence,7908,0.1213574931025505,-0.32683907091879894,0.0,-0.3529105223975373,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,climatology,8450,0.08970104902982712,0.28118023665163516,0.2608528180948234,0.0,sunshine_coast_core
3,2026-05..2026-07,future,seen,gbt,5685,0.07612879927979112,0.4687569049112924,0.2302479289166668,0.04082569604612518,sunshine_coast_core
3,2026-05..2026-07,future,seen,persistence,6157,0.09890041500329971,0.18925325483327038,0.0,-0.24608213473716622,sunshine_coast_core
3,2026-05..2026-07,future,seen,climatology,6176,0.07936909794807434,0.4878364197927648,0.1974846824917138,0.0,sunshine_coast_core
3,2026-05..2026-07,future,unseen,gbt,205,0.0924480124279398,-0.14381396231996235,0.20289489102686176,-0.004295328751782401,sunshine_coast_core
3,2026-05..2026-07,future,unseen,persistence,225,0.11597970128059387,-0.7179244589766016,0.0,-0.25992835505163736,sunshine_coast_core
3,2026-05..2026-07,future,unseen,climatology,225,0.09205261617898941,-0.08221217132974878,0.20630407594960776,0.0,sunshine_coast_core
3,2026-05..2026-07,seen,seen,gbt,200864,0.08716514163468493,0.5354958057580304,0.27881356450505557,0.014097021688013411,sunshine_coast_core
3,2026-05..2026-07,seen,seen,persistence,222365,0.12086353451013565,0.11142390145341097,0.0,-0.36705701852998573,sunshine_coast_core
3,2026-05..2026-07,seen,seen,climatology,236637,0.08841148018836975,0.5298135761707359,0.26850161591993205,0.0,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,gbt,7295,0.08787994661861638,0.28765209821718185,0.27748795091666645,0.019688371687484607,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,persistence,8065,0.12163111567497253,-0.3431026004067059,0.0,-0.3568100761174262,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,climatology,8607,0.0896449089050293,0.2768215240175149,0.2629771715275394,0.0,sunshine_coast_core
0,2025-08..2025-10,future,seen,convlstm,6140,0.09962885081768036,0.3850792080183493,0.10114460573149153,0.042975077194909006,sunshine_coast_core
0,2025-08..2025-10,future,unseen,convlstm,225,0.09032399207353592,0.07458781215102117,0.06354669566977245,-0.004273955290350351,sunshine_coast_core
0,2025-08..2025-10,seen,seen,convlstm,212828,0.09212016314268112,0.4845210127540168,0.24130303239865614,-0.04016049762845775,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,convlstm,7719,0.09211832284927368,0.2423120974689691,0.25150944752056503,-0.01582534712611161,sunshine_coast_core
1,2025-11..2026-01,future,seen,convlstm,4559,0.10684254765510559,0.15710960080452108,0.32799263855752314,0.01108721304185889,sunshine_coast_core
1,2025-11..2026-01,future,unseen,convlstm,157,0.08533328771591187,-0.42004166613915817,0.36647556050775587,0.06886771223160082,sunshine_coast_core
1,2025-11..2026-01,seen,seen,convlstm,219009,0.09038873016834259,0.5024489587546576,0.248009095468952,-0.029356388909959508,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,convlstm,7944,0.09010673314332962,0.2699087596236528,0.2614821979346892,-0.0032670683853666116,sunshine_coast_core
2,2026-02..2026-04,future,seen,convlstm,5903,0.17925021052360535,-0.27642947993463207,0.2870443018026001,-0.20347032442224955,sunshine_coast_core
2,2026-02..2026-04,future,unseen,convlstm,215,0.18390333652496338,-0.6639191858969224,0.31496956158874323,-0.21023530934608403,sunshine_coast_core
2,2026-02..2026-04,seen,seen,convlstm,225149,0.0952330231666565,0.45010266079124384,0.20603460313532218,-0.08070577359270015,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,convlstm,8169,0.095404714345932,0.18264529529385976,0.21385394583495287,-0.06358526882119664,sunshine_coast_core
3,2026-05..2026-07,future,seen,convlstm,6176,0.0913337767124176,0.32178313136361303,0.07650764954454092,-0.15074731946898168,sunshine_coast_core
3,2026-05..2026-07,future,unseen,convlstm,225,0.10685794055461884,-0.45832308763922014,0.0786496311445607,-0.1608354546582531,sunshine_coast_core
3,2026-05..2026-07,seen,seen,convlstm,229708,0.09219438582658768,0.48381703776261187,0.23720263352999804,-0.042787493549005795,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,convlstm,8326,0.09157685190439224,0.24124198382604878,0.24709354677706385,-0.021551062106713426,sunshine_coast_core
0,2025-08..2025-10,future,seen,gnn,6112,0.09883461147546768,0.38809015415178594,0.10831026418513146,0.05060446204609881,sunshine_coast_core
0,2025-08..2025-10,future,unseen,gnn,225,0.083536796271801,0.20843868929234088,0.13391439964034502,0.07118998088719464,sunshine_coast_core
0,2025-08..2025-10,seen,seen,gnn,188259,0.09645028412342072,0.42984166483260255,0.20564037673937663,-0.08905338535751484,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,gnn,6838,0.09724511206150055,0.13686905862220522,0.2098526612134145,-0.072360488779462,sunshine_coast_core
1,2025-11..2026-01,future,seen,gnn,4442,0.10158076882362366,0.2210299463683323,0.3610876385050379,0.0597891626190552,sunshine_coast_core
1,2025-11..2026-01,future,unseen,gnn,157,0.08335787802934647,-0.3550566151751724,0.38114123609516837,0.09042281446620648,sunshine_coast_core
1,2025-11..2026-01,seen,seen,gnn,190310,0.09568104892969131,0.4388210066379232,0.2039795404016198,-0.08962587293740887,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,gnn,6913,0.09354417771100998,0.1981208317455232,0.2333087871552022,-0.04154028964029988,sunshine_coast_core
2,2026-02..2026-04,future,seen,gnn,1213,0.14399220049381256,-0.0003303111206058862,0.42728067354472143,0.03324888859898045,sunshine_coast_core
